# name	source_path	targets	tier	policy	reason
setup-matt-pocock-skills	$HOME/Code/joelhooks/dark-wizard/skills/setup-matt-pocock-skills	claude,codex,opencode-config-skill,pi-agent	1	symlink	Compatibility trigger that sets up Brain/tracker/domain wiring, not vanilla Matt defaults.
grill-with-docs	$HOME/Code/joelhooks/dark-wizard/skills/grill-with-docs	agents,claude,codex,opencode-config-skill,pi-agent	1	symlink	Grill plans against project language, Brain SVX notes, docs, and ADRs while updating docs inline.
diagnose	$HOME/Code/joelhooks/dark-wizard/skills/diagnose	agents,claude,codex,opencode-config-skill,pi-agent	1	symlink	Diagnose with feedback loops, logs, pi sessions, Brain/SVX receipts, and validation.
tdd	$HOME/Code/joelhooks/dark-wizard/skills/tdd	agents,claude,codex,opencode-config-skill,pi-agent	1	symlink	Run red-green-refactor through public interfaces and capture durable test/interface decisions in SVX.
triage	$HOME/Code/joelhooks/dark-wizard/skills/triage	agents,claude,codex,opencode-config-skill,pi-agent	1	symlink	Brain-first triage across issues, support threads, pi-notes, and session history.
to-prd	$HOME/Code/joelhooks/dark-wizard/skills/to-prd	agents,claude,codex,opencode-config-skill,pi-agent	1	symlink	Create Brain-first SVX PRDs before tracker mirrors.
to-issues	$HOME/Code/joelhooks/dark-wizard/skills/to-issues	agents,claude,codex,opencode-config-skill,pi-agent	1	symlink	Convert Brain/project SVX plans into vertical AFK/HITL issue slices.
zoom-out	$HOME/Code/joelhooks/dark-wizard/skills/zoom-out	agents,claude,codex,opencode-config-skill,pi-agent	1	symlink	Map code, Brain SVX notes, dotfiles, pi-notes, and session history before acting.
improve-codebase-architecture	$HOME/Code/joelhooks/dark-wizard/skills/improve-codebase-architecture	agents,claude,codex,opencode-config-skill,pi-agent	1	symlink	Find architecture improvements grounded in code, Brain SVX notes, ADRs, and session friction.
prototype	$HOME/Code/joelhooks/dark-wizard/skills/prototype	agents,claude,codex,opencode-config-skill,pi-agent	1	symlink	Explore throwaway UI or logic prototypes and capture the answer in Brain/SVX before cleanup.
handoff	$HOME/Code/joelhooks/dark-wizard/skills/handoff	agents,claude,codex,opencode-config-skill,pi-agent	1	symlink	Create durable Joel handoffs in Brain/project SVX notes before ephemeral transfer docs.
write-a-skill	$HOME/Code/joelhooks/dark-wizard/skills/write-a-skill	agents,claude,codex,opencode-config-skill,pi-agent	1	symlink	Create or adapt skills with SVX Brain/pi-notes rules and repeatable symlink wiring.
code-review-clis	$HOME/Code/joelhooks/dark-wizard/skills/code-review-clis	agents,claude,codex,opencode-config-skill,pi-agent	2	symlink	Use local Hunk, Macroscope, CodeRabbit, and Manifold review tools safely.
panda-host	$HOME/Code/joelhooks/dark-wizard/skills/panda-host	agents,claude,codex,opencode-config-skill,pi-agent	2	symlink	Operate Panda SSH/sync commands safely with verification.
tailnet-topology	$HOME/Code/joelhooks/dark-wizard/skills/tailnet-topology	agents,claude,codex,opencode-config-skill,pi-agent	2	symlink	Load private Tailscale host roles, MagicDNS, Serve, and routing patterns.
caveman	$HOME/Code/joelhooks/dark-wizard/skills/caveman	agents,claude,codex,opencode-config-skill,pi-agent	2	symlink	Compressed communication mode preserving receipts and exact SVX artifact formats.
grill-me	$HOME/Code/joelhooks/dark-wizard/skills/grill-me	agents,claude,codex,opencode-config-skill,pi-agent	2	symlink	Stress-test plans one question at a time and capture durable answers in SVX Brain notes.
backwards-planner	$HOME/Code/badass-courses/skills/backwards-planner	claude,codex,opencode-config-skill,pi-agent	1	symlink	Decompose projects backwards until every branch has a tomorrow-sized next action.
brain-first-workflow	$HOME/Code/badass-courses/skills/brain-first-workflow	claude,codex,opencode-config-skill,pi-agent	1	symlink	Joel's PRD, planning, Linear mirror, and voice-first clarification workflow.
second-brain-execution	$HOME/Code/badass-courses/skills/second-brain-execution	claude,codex,opencode-config-skill,pi-agent	1	symlink	Operate Joel's private Second Brain corpus and apply it to projects.
how	$HOME/Code/badass-courses/skills/how	claude,codex,opencode-config-skill,pi-agent	1	symlink	Explain how code works by exploring the relevant files first.
good-questions	$HOME/Code/badass-courses/skills/good-questions	claude,codex,opencode-config-skill,pi-agent	2	symlink	Force better technical questions and remove vague bullshit.
shipping-discipline	$HOME/Code/badass-courses/skills/shipping-discipline	claude,codex,opencode-config-skill,pi-agent	2	symlink	Keep work scoped to shipping instead of avoidance theater.
jitpm-project-manager	$HOME/Code/badass-courses/skills/jitpm-project-manager	claude,codex,opencode-config-skill,pi-agent	2	symlink	Apply JITPM from Joel's Forte corpus to project kickoff, review, and archive decisions.
para-operator	$HOME/Code/badass-courses/skills/para-operator	claude,codex,opencode-config-skill,pi-agent	2	symlink	Classify and organize Brain/Vault notes using PARA grounded in Joel's corpus.
forte-source-research	$HOME/Code/badass-courses/skills/forte-source-research	claude,codex,opencode-config-skill,pi-agent	3	symlink	Search and cite Joel's private Forte/PARA/JITPM/Second Brain corpus.
offer-atomizer	$HOME/Code/badass-courses/skills/offer-atomizer	claude,codex,opencode-config-skill,pi-agent	2	symlink	Shrink fuzzy product ideas into one useful, shippable offer atom.
value-paths	$HOME/Code/badass-courses/skills/value-paths	claude,codex,opencode-config-skill,pi-agent	2	symlink	Map offers, products, courses, and onboarding around user outcome paths.
sales-safari	$HOME/Code/badass-courses/skills/sales-safari	claude,codex,opencode-config-skill,pi-agent	2	symlink	Mine customer language and buying signals before inventing copy or products.
proof-and-objections	$HOME/Code/badass-courses/skills/proof-and-objections	claude,codex,opencode-config-skill,pi-agent	2	symlink	Design proof and objection handling for offers, pages, launches, and sequences.
ebomb-factory	$HOME/Code/badass-courses/skills/ebomb-factory	claude,codex,opencode-config-skill,pi-agent	2	symlink	Build useful e-bomb content with a concrete pitch and conversion path.
stb-copy-coach	$HOME/Code/badass-courses/skills/stb-copy-coach	claude,codex,opencode-config-skill,pi-agent	2	symlink	Review copy against Stacking the Bricks style and customer-language discipline.
email-sequence-architect	$HOME/Code/badass-courses/skills/email-sequence-architect	claude,codex,opencode-config-skill,pi-agent	2	symlink	Design email sequences with segmentation, belief shifts, and sales logic.
launch-runbook	$HOME/Code/badass-courses/skills/launch-runbook	claude,codex,opencode-config-skill,pi-agent	2	symlink	Navigate what to do next during launches without mistaking process for reasoning.
launch-sequencer	$HOME/Code/badass-courses/skills/launch-sequencer	claude,codex,opencode-config-skill,pi-agent	2	symlink	Plan launch email sequence arcs and timed sales messaging.
launch-operations	$HOME/Code/badass-courses/skills/launch-operations	claude,codex,opencode-config-skill,pi-agent	2	symlink	Run product launch operations, campaign checklists, and sales-window logistics.
kit-automation-architect	$HOME/Code/badass-courses/skills/kit-automation-architect	claude,codex,opencode-config-skill,pi-agent	3	symlink	Design Kit automations, forms, tags, and sequences for lifecycle marketing.
survey-strategy	$HOME/Code/badass-courses/skills/survey-strategy	claude,codex,opencode-config-skill,pi-agent	2	symlink	Design Brennan Dunn-style segmentation surveys and customer intelligence flows.
survey-segmentation-engine	$HOME/Code/badass-courses/skills/survey-segmentation-engine	claude,codex,opencode-config-skill,pi-agent	3	symlink	Build survey segmentation infrastructure and custom-field routing.
personalization-playbook	$HOME/Code/badass-courses/skills/personalization-playbook	claude,codex,opencode-config-skill,pi-agent	3	symlink	Use segmentation data to personalize copy, pages, offers, and email paths.
subscriber-intelligence	$HOME/Code/badass-courses/skills/subscriber-intelligence	claude,codex,opencode-config-skill,pi-agent	3	symlink	Analyze audience/subscriber data for segments, gaps, and campaign decisions.
# disabled-on-blaine-no-joelclaw-runtime	capture_progress	$HOME/Code/joelhooks/joelclaw/skills/capture_progress	claude,codex,opencode-config-skill,pi-agent	1	symlink	Turn ephemeral discussion into durable notes, decisions, and receipts.
# disabled-on-blaine-no-joelclaw-runtime	recall	$HOME/Code/joelhooks/joelclaw/skills/recall	claude,codex,opencode-config-skill,pi-agent	1	symlink	Fan-out search across memory sources when context is unclear.
# disabled-on-blaine-no-joelclaw-runtime	skill-cleaner	$HOME/Code/joelhooks/joelclaw/skills/skill-cleaner	claude,codex,opencode-config-skill,pi-agent	1	symlink	Audit skill roots, prompt budget, duplicates, stale links, and usage.
# disabled-on-blaine-no-joelclaw-runtime	skill-review	$HOME/Code/joelhooks/joelclaw/skills/skill-review	claude,codex,opencode-config-skill,pi-agent	1	symlink	Garden the skill inventory and catch stale/broken skill state.
# disabled-on-blaine-no-joelclaw-runtime	add-skill	$HOME/Code/joelhooks/joelclaw/skills/add-skill	claude,codex,opencode-config-skill,pi-agent	2	symlink	Create Joel-owned skills with the local repo/symlink/slog process.
joels-inbox	$HOME/Code/joelhooks/dark-wizard/skills/joels-inbox	claude,codex,opencode-config-skill,pi-agent	2	symlink	Dark-wizard backed personal inbox skill; source currently matches the joelclaw copy.
# disabled-on-blaine-no-joelclaw-runtime	agent-loop	$HOME/Code/joelhooks/joelclaw/skills/agent-loop	claude,codex,opencode-config-skill,pi-agent	2	symlink	Start, monitor, and cancel durable multi-agent coding loops.
# disabled-on-blaine-no-joelclaw-runtime	workflow-rig	$HOME/Code/joelhooks/joelclaw/skills/workflow-rig	claude,codex,opencode-config-skill,pi-agent	2	symlink	Canonical front door for agent-first workload planning.
# disabled-on-blaine-no-joelclaw-runtime	loop-nanny	$HOME/Code/joelhooks/joelclaw/skills/loop-nanny	claude,codex,opencode-config-skill,pi-agent	2	symlink	Monitor running loops, triage failures, and clean up after completion.
# disabled-on-blaine-no-joelclaw-runtime	loop-diagnosis	$HOME/Code/joelhooks/joelclaw/skills/loop-diagnosis	claude,codex,opencode-config-skill,pi-agent	2	symlink	Diagnose stuck agent loops and story progress failures.
# disabled-on-blaine-no-joelclaw-runtime	signal-friction-scan	$HOME/Code/joelhooks/joelclaw/skills/signal-friction-scan	claude,codex,opencode-config-skill,pi-agent	2	symlink	Scan recent sessions for repeated friction and corrections.
# disabled-on-blaine-no-joelclaw-runtime	joelclaw-system-check	$HOME/Code/joelhooks/joelclaw/skills/joelclaw-system-check	claude,codex,opencode-config-skill,pi-agent	2	symlink	Comprehensive health check for JoelClaw runtime.
# disabled-on-blaine-no-joelclaw-runtime	o11y-logging	$HOME/Code/joelhooks/joelclaw/skills/o11y-logging	claude,codex,opencode-config-skill,pi-agent	2	symlink	Implement and verify observability on system changes.
skill-support	$HOME/Code/skillrecordings/support/skills/skill-support	claude,codex,opencode-config-skill,pi-agent	2	symlink	Operate the Skill Recordings support platform.
inbox-triage	$HOME/Code/skillrecordings/support/skills/inbox-triage	claude,codex,opencode-config-skill,pi-agent	2	symlink	Triage Front inboxes and archive/support-prioritize conversations.
effect-ts	$HOME/Code/skillrecordings/support/skills/effect-ts	claude,codex,opencode-config-skill,pi-agent	2	symlink	Write idiomatic Effect v4 TypeScript from local support guidance.
axiom-investigation	$HOME/Code/skillrecordings/support/skills/axiom-investigation	claude,codex,opencode-config-skill,pi-agent	2	symlink	Investigate production issues via Axiom structured logs.
vercel-composition-patterns	$HOME/Code/vercel-labs/agent-skills/skills/composition-patterns	claude,codex,opencode-config-skill,pi-agent	2	symlink	React composition patterns from Vercel for component APIs that scale.
vercel-react-best-practices	$HOME/Code/vercel-labs/agent-skills/skills/react-best-practices	claude,codex,opencode-config-skill,pi-agent	2	symlink	React and Next.js performance guidance from Vercel Engineering.
web-design-guidelines	$HOME/Code/vercel-labs/agent-skills/skills/web-design-guidelines	claude,codex,opencode-config-skill,pi-agent	2	symlink	UI, accessibility, and UX review against Vercel's web interface guidelines.
vercel-react-native-skills	$HOME/Code/vercel-labs/agent-skills/skills/react-native-skills	claude,codex,opencode-config-skill,pi-agent	3	symlink	React Native guidance from Vercel's agent skill set.
vercel-deploy-claimable	$HOME/Code/vercel-labs/agent-skills/skills/claude.ai/vercel-deploy-claimable	claude,codex,opencode-config-skill,pi-agent	3	symlink	Deploy claimable Vercel projects from the upstream Vercel skill pack.
customer-research	$HOME/Code/coreyhaines31/marketingskills/skills/customer-research	claude,codex,opencode-config-skill,pi-agent	3	symlink	Customer research synthesis for offers, content, and positioning.
content-strategy	$HOME/Code/coreyhaines31/marketingskills/skills/content-strategy	claude,codex,opencode-config-skill,pi-agent	3	symlink	Plan content strategy and topic coverage.
copywriting	$HOME/Code/coreyhaines31/marketingskills/skills/copywriting	claude,codex,opencode-config-skill,pi-agent	3	symlink	Write and improve marketing copy.
seo-audit	$HOME/Code/coreyhaines31/marketingskills/skills/seo-audit	claude,codex,opencode-config-skill,pi-agent	3	symlink	Audit SEO problems and technical/content opportunities.
programmatic-seo	$HOME/Code/coreyhaines31/marketingskills/skills/programmatic-seo	claude,codex,opencode-config-skill,pi-agent	3	symlink	Plan SEO-driven pages at scale using templates and data.
product-marketing	$HOME/Code/coreyhaines31/marketingskills/skills/product-marketing	claude,codex,opencode-config-skill,pi-agent	3	symlink	Product marketing context, positioning, and GTM artifacts.
session-search	$HOME/Code/joelhooks/dark-wizard/skills/session-search	agents,claude,codex,opencode-config-skill,pi-agent	1	symlink	Search and verify Pi, Claude, and Codex sessions through JoelClaw pointers plus raw transcript receipts.
